key,Support_frac,Confiance_python,Lift_python,Support,Confiance_weka,Lift_weka
{AWS}=>{FastAPI},,,,0.0815,0.4,0.99
{AWS}=>{LangChain},,,,0.084,0.42,1.03
{AWS}=>{MLflow},,,,0.076,0.38,0.93
{AWS}=>{TensorFlow},,,,0.0785,0.39,0.94
{Azure}=>{LangChain},,,,0.086,0.42,1.03
{Azure}=>{PyTorch},,,,0.078,0.38,0.96
{Azure}=>{Scikit-learn},,,,0.0845,0.41,1.03
{Azure}=>{TensorFlow},,,,0.0785,0.38,0.92
{BigQuery}=>{TensorFlow},,,,0.0935,0.38,0.92
{CUDA}=>{FastAPI},,,,0.081,0.41,1.01
{CUDA}=>{MLflow},,,,0.0765,0.39,0.95
{CUDA}=>{PyTorch},,,,0.0745,0.38,0.95
{CUDA}=>{TensorFlow},,,,0.0795,0.4,0.97
{Cplusplus}=>{FastAPI},,,,0.0795,0.41,1.0
{Cplusplus}=>{MLflow},,,,0.074,0.38,0.94
{Cplusplus}=>{PyTorch},,,,0.076,0.39,0.99
{Cplusplus}=>{Scikit-learn},,,,0.0735,0.38,0.95
{Cplusplus}=>{TensorFlow},,,,0.0745,0.38,0.93
{Excel}=>{FastAPI},,,,0.083,0.38,0.95
{Excel}=>{LangChain},,,,0.084,0.39,0.96
{Excel}=>{MLflow},,,,0.082,0.38,0.94
{Excel}=>{PyTorch},,,,0.087,0.4,1.02
{Excel}=>{Scikit-learn},,,,0.0895,0.41,1.04
{Excel}=>{TensorFlow},,,,0.086,0.4,0.97
{FastAPI}=>{LangChain},0.1515,0.3731527093596059,1.0,0.1515,0.37,0.92
{FastAPI}=>{MLflow},0.1565,0.3854679802955665,1.0,0.1565,0.39,0.95
{FastAPI}=>{MLflow},0.1565,0.3854679802955665,1.0,0.057,0.38,0.93
{FastAPI}=>{Scikit-learn},0.1505,0.3706896551724138,1.0,,,
{FastAPI}=>{TensorFlow},0.1595,0.3928571428571428,1.0,0.1595,0.39,0.95
{FastAPI}=>{TensorFlow},0.1595,0.3928571428571428,1.0,0.053,0.38,0.92
{Flask}=>{FastAPI},,,,0.0805,0.4,1.0
{Flask}=>{LangChain},,,,0.0755,0.38,0.94
{Flask}=>{MLflow},,,,0.0775,0.39,0.96
{Flask}=>{PyTorch},,,,0.075,0.38,0.96
{Flask}=>{Scikit-learn},,,,0.074,0.37,0.93
{GCP}=>{LangChain},,,,0.0755,0.37,0.92
{GCP}=>{MLflow},,,,0.0775,0.38,0.95
{GCP}=>{PyTorch},,,,0.0795,0.39,1.0
{GCP}=>{Scikit-learn},,,,0.0805,0.4,1.0
{GCP}=>{TensorFlow},,,,0.0845,0.42,1.01
{Hugging Face}=>{LangChain},,,,0.087,0.43,1.05
{Hugging Face}=>{MLflow},,,,0.077,0.38,0.93
{Hugging Face}=>{Scikit-learn},,,,0.0835,0.41,1.03
{Hugging Face}=>{TensorFlow},,,,0.079,0.39,0.94
{KDBplus}=>{LangChain},,,,0.097,0.39,0.96
{KDBplus}=>{PyTorch},,,,0.094,0.38,0.96
{Keras}=>{FastAPI},,,,0.078,0.38,0.95
{Keras}=>{MLflow},,,,0.077,0.38,0.94
{Keras}=>{PyTorch},,,,0.076,0.37,0.95
{Keras}=>{Scikit-learn},,,,0.0875,0.43,1.08
{Keras}=>{TensorFlow},,,,0.082,0.4,0.98
{LangChain}=>{FastAPI},0.1515,0.374074074074074,1.0,0.1515,0.37,0.92
{LangChain}=>{MLflow},0.1535,0.3790123456790123,1.0,0.1535,0.38,0.93
{LangChain}=>{Scikit-learn},0.1545,0.3814814814814815,1.0,0.1545,0.38,0.96
{LangChain}=>{TensorFlow},0.1475,0.3641975308641975,1.0,,,
{MLflow}=>{FastAPI},0.1565,0.3859432799013563,1.0,0.057,0.39,0.96
{MLflow}=>{FastAPI},0.1565,0.3859432799013563,1.0,0.1565,0.39,0.95
{MLflow}=>{FastAPI},0.1565,0.3859432799013563,1.0,0.0575,0.38,0.93
{MLflow}=>{LangChain},0.1535,0.3785450061652281,1.0,0.1535,0.38,0.93
{MLflow}=>{PyTorch},0.1495,0.3686806411837238,1.0,,,
{MLflow}=>{Scikit-learn},0.147,0.3625154130702836,1.0,,,
{MLflow}=>{TensorFlow},0.152,0.374845869297164,1.0,0.152,0.37,0.91
{MLflow}=>{TensorFlow},0.152,0.374845869297164,1.0,0.056,0.37,0.91
{NumPy}=>{FastAPI},,,,0.081,0.39,0.96
{NumPy}=>{Scikit-learn},,,,0.0835,0.4,1.01
{NumPy}=>{TensorFlow},,,,0.081,0.39,0.94
{Pandas}=>{FastAPI},,,,0.0905,0.42,1.04
{Pandas}=>{LangChain},,,,0.0825,0.39,0.95
{Pandas}=>{MLflow},,,,0.0825,0.39,0.95
{Pandas}=>{PyTorch},,,,0.0835,0.39,1.0
{Pandas}=>{Scikit-learn},,,,0.0825,0.39,0.97
{Pandas}=>{TensorFlow},,,,0.0885,0.41,1.0
{Power BI}=>{FastAPI},,,,0.0775,0.38,0.94
{Power BI}=>{LangChain},,,,0.0825,0.41,1.01
{Power BI}=>{MLflow},,,,0.0805,0.4,0.98
{Power BI}=>{Scikit-learn},,,,0.0805,0.4,1.0
{Power BI}=>{TensorFlow},,,,0.08,0.4,0.96
{PyTorch}=>{MLflow},0.1495,0.3804071246819338,1.0,0.1495,0.38,0.94
{PyTorch}=>{Scikit-learn},0.149,0.3791348600508906,1.0,0.149,0.38,0.95
{PyTorch}=>{TensorFlow},0.1535,0.3905852417302799,1.0,0.1535,0.39,0.95
{Python}=>{FastAPI},,,,0.0755,0.38,0.93
{Python}=>{LangChain},,,,0.0795,0.4,0.98
{Python}=>{MLflow},,,,0.0825,0.41,1.01
{Python}=>{PyTorch},,,,0.0775,0.39,0.98
{Python}=>{Scikit-learn},,,,0.0805,0.4,1.01
{Python}=>{TensorFlow},,,,0.0755,0.38,0.91
{Reinforcement Learning}=>{FastAPI},,,,0.086,0.42,1.02
{Reinforcement Learning}=>{MLflow},,,,0.08,0.39,0.95
{Reinforcement Learning}=>{PyTorch},,,,0.079,0.38,0.97
{Reinforcement Learning}=>{TensorFlow},,,,0.09,0.43,1.05
{R}=>{LangChain},,,,0.082,0.42,1.03
{R}=>{PyTorch},,,,0.0745,0.38,0.96
{R}=>{TensorFlow},,,,0.079,0.4,0.97
{SQL}=>{FastAPI},,,,0.0775,0.38,0.94
{SQL}=>{LangChain},,,,0.0825,0.4,1.0
{SQL}=>{MLflow},,,,0.08,0.39,0.97
{SQL}=>{Scikit-learn},,,,0.0765,0.38,0.94
{SQL}=>{TensorFlow},,,,0.0775,0.38,0.92
{Scikit-learn}=>{FastAPI},0.1505,0.3781407035175879,1.0,0.1505,0.38,0.93
{Scikit-learn}=>{LangChain},0.1545,0.3881909547738693,1.0,0.1545,0.39,0.96
{Scikit-learn}=>{MLflow},0.147,0.3693467336683417,1.0,,,
{Scikit-learn}=>{PyTorch},0.149,0.3743718592964824,1.0,0.149,0.37,0.95
{Scikit-learn}=>{TensorFlow},0.1505,0.3781407035175879,1.0,0.1505,0.38,0.92
{TensorFlow}=>{FastAPI},0.1595,0.3866666666666666,1.0,0.1595,0.39,0.95
{TensorFlow}=>{LangChain},0.1475,0.3575757575757576,1.0,,,
{TensorFlow}=>{MLflow},0.152,0.3684848484848484,1.0,,,
{TensorFlow}=>{PyTorch},0.1535,0.3721212121212121,1.0,0.1535,0.37,0.95
{TensorFlow}=>{Scikit-learn},0.1505,0.3648484848484848,1.0,,,
